Timestamp : Severity : (Pid | Thread) : (ServiceType | ServiceName) : ClientNode : MessageCode : Message
2022-09-02 00:29:59.059 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36522 : Started process [pid = 7972] for task instance :Session task instance [s_m_NODWTM_INSERT_DATA]:.
2022-09-02 00:29:59.059 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Starting process [:Session task instance [s_m_NODWTM_INSERT_DATA]:].
2022-09-02 00:29:59.059 : INFO : (2997 | 140081331418880) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Process [:Session task instance [s_m_NODWTM_ECLQ]:] with process Id [7711] completed with status [0].
2022-09-02 00:28:57.057 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36801 : Workflow [wf_NODWTM_WBLG]: Workflow will run next at [Fri Sep 02 00:31:57 2022].
2022-09-02 00:28:57.057 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_44260 : Workflow [wf_NODWTM_WBLG]: Workflow will be rescheduled after the current run completes.
2022-09-02 00:28:57.057 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36318 : Workflow [wf_NODWTM_WBLG]: Execution succeeded.
2022-09-02 00:28:57.057 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Process [:Session task instance [s_m_NODWTM_INSERT_DATA]:] with process Id [7925] completed with status [0].
2022-09-02 00:28:55.055 : INFO : (2997 | 140081339811584) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36801 : Workflow [wf_NODWTM_FETR_QN]: Workflow will run next at [Fri Sep 02 00:33:47 2022].
2022-09-02 00:28:55.055 : INFO : (2997 | 140081339811584) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_44260 : Workflow [wf_NODWTM_FETR_QN]: Workflow will be rescheduled after the current run completes.
2022-09-02 00:28:55.055 : INFO : (2997 | 140081339811584) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36318 : Workflow [wf_NODWTM_FETR_QN]: Execution succeeded.
2022-09-02 00:28:55.055 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36801 : Workflow [wf_NODWTM_ECTR_QN]: Workflow will run next at [Fri Sep 02 00:33:45 2022].
2022-09-02 00:28:55.055 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_44260 : Workflow [wf_NODWTM_ECTR_QN]: Workflow will be rescheduled after the current run completes.
2022-09-02 00:28:55.055 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36318 : Workflow [wf_NODWTM_ECTR_QN]: Execution succeeded.
2022-09-02 00:28:55.055 : INFO : (2997 | 140081339811584) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Process [:Session task instance [s_m_NODWTM_INSERT_DATA]:] with process Id [7924] completed with status [0].
2022-09-02 00:28:55.055 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Process [:Session task instance [s_m_NODWTM_INSERT_DATA]:] with process Id [7923] completed with status [0].
2022-09-02 00:28:51.051 : INFO : (2997 | 140081339811584) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36522 : Started process [pid = 7925] for task instance :Session task instance [s_m_NODWTM_INSERT_DATA]:.
2022-09-02 00:28:51.051 : INFO : (2997 | 140081339811584) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Starting process [:Session task instance [s_m_NODWTM_INSERT_DATA]:].
2022-09-02 00:28:51.051 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36522 : Started process [pid = 7924] for task instance :Session task instance [s_m_NODWTM_INSERT_DATA]:.
2022-09-02 00:28:51.051 : INFO : (2997 | 140080962336512) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36522 : Started process [pid = 7923] for task instance :Session task instance [s_m_NODWTM_INSERT_DATA]:.
2022-09-02 00:28:51.051 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Starting process [:Session task instance [s_m_NODWTM_INSERT_DATA]:].
2022-09-02 00:28:51.051 : INFO : (2997 | 140080962336512) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Starting process [:Session task instance [s_m_NODWTM_INSERT_DATA]:].
2022-09-02 00:28:51.051 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Process [:Session task instance [s_m_NODWTM_FETR_QN]:] with process Id [7898] completed with status [0].
2022-09-02 00:28:51.051 : INFO : (2997 | 140081331418880) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Process [:Session task instance [s_m_NODWTM_ECTR_QN]:] with process Id [7899] completed with status [0].
2022-09-02 00:28:51.051 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Process [:Session task instance [s_m_NODWTM_WBLG]:] with process Id [7512] completed with status [0].
2022-09-02 00:28:49.049 : INFO : (2997 | 140081314633472) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36522 : Started process [pid = 7899] for task instance :Session task instance [s_m_NODWTM_ECTR_QN]:.
2022-09-02 00:28:49.049 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36522 : Started process [pid = 7898] for task instance :Session task instance [s_m_NODWTM_FETR_QN]:.
2022-09-02 00:28:49.049 : INFO : (2997 | 140081314633472) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Starting process [:Session task instance [s_m_NODWTM_ECTR_QN]:].
2022-09-02 00:28:49.049 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Starting process [:Session task instance [s_m_NODWTM_FETR_QN]:].
2022-09-02 00:28:49.049 : INFO : (2997 | 140081339811584) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Process [:Session task instance [s_m_NODWTM_CREATE_TMP]:] with process Id [7874] completed with status [0].
2022-09-02 00:28:49.049 : INFO : (2997 | 140081331418880) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Process [:Session task instance [s_m_NODWTM_CREATE_TMP]:] with process Id [7886] completed with status [0].
2022-09-02 00:28:47.047 : INFO : (2997 | 140080962336512) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36522 : Started process [pid = 7886] for task instance :Session task instance [s_m_NODWTM_CREATE_TMP]:.
2022-09-02 00:28:47.047 : INFO : (2997 | 140080962336512) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Starting process [:Session task instance [s_m_NODWTM_CREATE_TMP]:].
2022-09-02 00:28:47.047 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27029 : Use persisted repository value [23:58:48] for user-defined workflow/worklet variable:[$$PRE_TIME_STR].
2022-09-02 00:28:47.047 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27027 : Use default value [] for user-defined workflow/worklet variable:[$$PRE_DATE_TIME].
2022-09-02 00:28:47.047 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27029 : Use persisted repository value [111/09/01] for user-defined workflow/worklet variable:[$$PRE_DATE_STR].
2022-09-02 00:28:47.047 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27029 : Use persisted repository value [00:23:48] for user-defined workflow/worklet variable:[$$NOW_TIME_STR].
2022-09-02 00:28:47.047 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27029 : Use persisted repository value [111/09/02] for user-defined workflow/worklet variable:[$$NOW_DATE_STR].
2022-09-02 00:28:47.047 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27062 : Warning! Cannot find section for workflow [wf_NODWTM_FETR_QN] and folder [NO_DWTM] in parameter file [/home/infaadmin/Informatica/10.1.1/server/infa_shared/NO_DWTM/BWParam/NO_DWTM.parm].
2022-09-02 00:28:47.047 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27085 : Parameter file [/home/infaadmin/Informatica/10.1.1/server/infa_shared/NO_DWTM/BWParam/NO_DWTM.parm] is opened for [workflow [wf_NODWTM_FETR_QN]].
2022-09-02 00:28:47.047 : INFO : (2997 | 140081323026176) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36814 : Workflow [wf_NODWTM_FETR_QN]: Got scheduled request to start workflow.
2022-09-02 00:28:47.047 : INFO : (2997 | 140083691165504) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36813 : Workflow [wf_NODWTM_FETR_QN], run instance name [] is scheduled to run now, schedule last saved by user [infaadmin].
2022-09-02 00:28:45.045 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LM_36522 : Started process [pid = 7874] for task instance :Session task instance [s_m_NODWTM_CREATE_TMP]:.
2022-09-02 00:28:45.045 : INFO : (2997 | 140080953943808) : (IS | INFA_PWCIS) : node01_x01getlap1a : LB_47063 : Starting process [:Session task instance [s_m_NODWTM_CREATE_TMP]:].
2022-09-02 00:28:45.045 : INFO : (2997 | 140081331418880) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27029 : Use persisted repository value [23:58:45] for user-defined workflow/worklet variable:[$$PRE_TIME_STR].
2022-09-02 00:28:45.045 : INFO : (2997 | 140081331418880) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27027 : Use default value [] for user-defined workflow/worklet variable:[$$PRE_DATE_TIME].
2022-09-02 00:28:45.045 : INFO : (2997 | 140081331418880) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27029 : Use persisted repository value [111/09/01] for user-defined workflow/worklet variable:[$$PRE_DATE_STR].
2022-09-02 00:28:45.045 : INFO : (2997 | 140081331418880) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27029 : Use persisted repository value [00:23:46] for user-defined workflow/worklet variable:[$$NOW_TIME_STR].
2022-09-02 00:28:45.045 : INFO : (2997 | 140081331418880) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27029 : Use persisted repository value [111/09/02] for user-defined workflow/worklet variable:[$$NOW_DATE_STR].
2022-09-02 00:28:45.045 : INFO : (2997 | 140081331418880) : (IS | INFA_PWCIS) : node01_x01getlap1a : VAR_27062 : Warning! Cannot find section for workflow [wf_NODWTM_ECTR_QN] and folder [NO_DWTM] in parameter file [/home/infaadmin/Informatica/10.1.1/server/infa_shared/NO_DWTM/BWParam/NO_DWTM.parm].
